"gene_id","count"
"YDR160W",41
"YDR161W",35
"YDR162C",33
"YDR163W",32
"YDR164C",34
"YDR165W",30
"YDR166C",118
"YDR167W",40
"YDR168W",131
"YDR169C",80
"YDR169C-A",1
"YDR170C",390
"YDR170W-A",0
"YDR171W",421
"YDR172W",102
"YDR173C",86
"YDR174W",70
"YDR175C",36
"YDR176W",67
"YDR177W",103
"YDR178W",333
"YDR179C",17
"YDR179W-A",20
"YDR180W",50
"YDR181C",23
"YDR182W",89
"YDR182W-A",4
"YDR183C-A",1
"YDR183W",13
"YDR184C",17
"YDR185C",26
"YDR186C",290
"YDR187C",27
"YDR188W",90
"YDR189W",56
"YDR190C",90
"YDR191W",12
"YDR192C",18
"YDR193W",3
"YDR194C",167
"YDR194W-A",0
"YDR195W",65
"YDR196C",92
"YDR197W",35
"YDR198C",26
"YDR199W",33
"YDR200C",59
"YDR201W",6
"YDR202C",56
"YDR203W",16
"YDR204W",65
"YDR205W",52
"YDR206W",63
"YDR207C",56
"YDR208W",159
"YDR209C",27
"YDR210C-C",0
"YDR210C-D",0
"YDR210W",14
"YDR210W-A",0
"YDR210W-B",0
"YDR211W",106
"YDR212W",88
"YDR213W",51
"YDR214W",84
"YDR215C",4
"YDR216W",132
"YDR217C",87
"YDR218C",2
"YDR219C",60
"YDR220C",3
"YDR221W",54
"YDR222W",37
"YDR223W",120
"YDR224C",274
"YDR225W",74
"YDR226W",160
"YDR227W",145
"YDR228C",48
"YDR229W",48
"YDR230W",58
"YDR231C",116
"YDR232W",141
"YDR233C",171
"YDR234W",48
"YDR235W",28
"YDR236C",26
"YDR237W",40
"YDR238C",227
"YDR239C",51
"YDR240C",19
"YDR241W",4
"YDR242W",169
"YDR243C",72
"YDR244W",107
"YDR245W",93
"YDR246W",64
"YDR246W-A",2
"YDR247W",220
"YDR248C",62
"YDR249C",42
"YDR250C",1
"YDR251W",109
"YDR252W",2
"YDR253C",13
"YDR254W",88
"YDR255C",86
"YDR256C",43
"YDR257C",16
"YDR258C",544
"YDR259C",20
"YDR260C",12
"YDR261C",52
"YDR261C-C",0
"YDR261C-D",0
"YDR261W-A",0
"YDR261W-B",0
"YDR262W",188
"YDR263C",24
"YDR264C",68
"YDR265W",44
"YDR266C",78
"YDR267C",25
"YDR268W",12
"YDR269C",7
"YDR270W",110
"YDR271C",20
"YDR272W",186
"YDR273W",47
"YDR274C",6
"YDR275W",115
"YDR276C",547
"YDR277C",87
"YDR278C",2
"YDR279W",24
"YDR280W",28
"YDR281C",19
"YDR282C",25
"YDR283C",208
"YDR284C",142
"YDR285W",29
"YDR286C",21
"YDR287W",17
"YDR288W",42
"YDR289C",36
"YDR290W",7
"YDR291W",69
"YDR292C",45
"YDR293C",949
"YDR294C",77
"YDR295C",61
"YDR296W",51
"YDR297W",186
"YDR298C",224
"YDR299W",26
"YDR300C",39
"YDR301W",80
"YDR302W",27
"YDR303C",50
"YDR304C",152
"YDR305C",44
"YDR306C",138
"YDR307W",78
"YDR308C",14
"YDR309C",49
"YDR310C",144
"YDR311W",52
"YDR312W",15
"YDR313C",140
"YDR314C",56
"YDR315C",35
"YDR316W",73
"YDR316W-A",0
"YDR316W-B",0
"YDR317W",33
"YDR318W",32
"YDR319C",34
"YDR320C",23
"YDR320C-A",50
"YDR320W-B",0
"YDR321W",11
"YDR322C-A",160
"YDR322W",65
"YDR323C",26
"YDR324C",26
"YDR325W",24
"YDR326C",163
"YDR327W",49
"YDR328C",109
"YDR329C",78
"YDR330W",52
"YDR331W",40
"YDR332W",31
"YDR333C",59
"YDR334W",129
"YDR335W",214
"YDR336W",25
"YDR337W",53
"YDR338C",116
"YDR339C",41
"YDR340W",0
"YDR341C",126
"YDR342C",8
"YDR343C",0
"YDR344C",7
"YDR345C",2133
"YDR346C",157
"YDR347W",61
"YDR348C",55
"YDR349C",88
"YDR350C",50
"YDR351W",83
"YDR352W",54
"YDR353W",90
"YDR354C-A",4
"YDR354W",19
"YDR355C",1
"YDR356W",56
"YDR357C",29
"YDR358W",102
"YDR359C",72
"YDR360W",5
"YDR361C",87
"YDR362C",35
"YDR363W",47
"YDR363W-A",45
"YDR364C",56
"YDR365C",56
"YDR365W-A",0
"YDR365W-B",0
"YDR366C",3
"YDR367W",47
"YDR368W",155
"YDR369C",30
"YDR370C",34
"YDR371C-A",4
"YDR371W",43
"YDR372C",84
"YDR373W",48
"YDR374C",4
"YDR374W-A",17
"YDR375C",75
"YDR376W",59
"YDR377W",271
"YDR378C",51
