"gene_id","count","log10_count"
"YBR220C",28,1.46239799789896
"YBR221C",422,2.62634036737504
"YBR221W-A",19,1.30102999566398
"YBR222C",242,2.38560627359831
"YBR223C",12,1.11394335230684
"YBR223W-A",2,0.477121254719662
"YBR224W",7,0.903089986991944
"YBR225W",56,1.75587485567249
"YBR226C",17,1.25527250510331
"YBR227C",92,1.96848294855394
"YBR228W",24,1.39794000867204
"YBR229C",119,2.07918124604762
"YBR230C",377,2.57749179983723
"YBR230W-A",94,1.97772360528885
"YBR231C",15,1.20411998265592
"YBR232C",6,0.845098040014257
"YBR233W",21,1.34242268082221
"YBR233W-A",21,1.34242268082221
"YBR234C",124,2.09691001300806
"YBR235W",166,2.22271647114758
"YBR236C",44,1.65321251377534
"YBR237W",69,1.84509804001426
"YBR238C",50,1.70757017609794
"YBR239C",45,1.66275783168157
"YBR240C",11,1.07918124604762
"YBR241C",46,1.67209785793572
"YBR242W",44,1.65321251377534
"YBR243C",27,1.44715803134222
"YBR244W",5,0.778151250383644
"YBR245C",109,2.04139268515822
"YBR246W",32,1.51851393987789
"YBR247C",22,1.36172783601759
"YBR248C",69,1.84509804001426
"YBR249C",174,2.24303804868629
"YBR250W",4,0.698970004336019
"YBR251W",71,1.85733249643127
"YBR252W",18,1.27875360095283
"YBR253W",44,1.65321251377534
"YBR254C",43,1.64345267648619
"YBR255C-A",81,1.91381385238372
"YBR255W",80,1.90848501887865
"YBR256C",213,2.33041377334919
"YBR257W",31,1.50514997831991
"YBR258C",13,1.14612803567824
"YBR259W",25,1.41497334797082
"YBR260C",49,1.69897000433602
"YBR261C",30,1.49136169383427
"YBR262C",127,2.10720996964787
"YBR263W",226,2.35602585719312
"YBR264C",36,1.56820172406699
"YBR265W",45,1.66275783168157
"YBR266C",18,1.27875360095283
"YBR267W",44,1.65321251377534
"YBR268W",81,1.91381385238372
"YBR269C",58,1.77085201164214
"YBR270C",25,1.41497334797082
"YBR271W",36,1.56820172406699
"YBR272C",48,1.69019608002851
"YBR273C",80,1.90848501887865
"YBR274W",41,1.6232492903979
"YBR275C",57,1.76342799356294
"YBR276C",134,2.13033376849501
"YBR277C",17,1.25527250510331
"YBR278W",58,1.77085201164214
"YBR279W",91,1.96378782734556
"YBR280C",35,1.55630250076729
"YBR281C",92,1.96848294855394
"YBR282W",59,1.77815125038364
"YBR283C",165,2.22010808804005
"YBR284W",33,1.53147891704226
"YBR285W",27,1.44715803134222
"YBR286W",424,2.62838893005031
"YBR287W",302,2.4814426285023
"YBR288C",55,1.7481880270062
"YBR289W",46,1.67209785793572
"YBR290W",146,2.16731733474818
"YBR291C",21,1.34242268082221
"YBR292C",2,0.477121254719662
"YBR293W",30,1.49136169383427
"YBR294W",225,2.3541084391474
"YBR295W",98,1.99563519459755
