"","SRR10551660","SRR10551661","SRR10551662","SRR10551663","SRR10551664","SRR10551665"
"YAL011W",22,46,7,21,34,38
"YAL012W",98,104,82,19,11,13
"YAL013W",26,42,23,16,21,23
"YAL014C",14,19,14,18,9,12
"YAL015C",12,27,12,14,8,9
"YAL016C-A",22,13,12,26,24,27
"YAL016C-B",15,27,7,26,25,15
"YAL016W",254,169,147,180,231,192
"YAL017W",248,193,161,329,354,370
"YAL018C",1,1,1,0,0,0
"YAL019W",115,118,33,77,74,81
"YAL019W-A",5,3,7,7,7,3
"YAL020C",14,12,21,14,16,18
"YAL021C",79,46,70,103,78,81
"YAL022C",21,25,27,34,31,30
"YAL023C",162,160,105,80,90,72
"YAL024C",51,41,14,26,34,24
"YAL025C",69,55,16,11,20,14
"YAL026C",87,65,29,64,82,73
"YAL026C-A",4,5,4,6,6,2
"YAL027W",23,23,7,18,18,21
"YAL028W",5,10,2,16,12,14
"YAL029C",212,150,82,122,166,152
"YAL030W",79,83,36,70,79,68
"YAL031C",59,49,38,87,85,76
"YAL031W-A",12,17,11,33,26,27
"YAL032C",42,30,17,20,30,28
"YAL033W",27,16,9,22,12,17
"YAL034C",87,117,31,106,141,128
"YAL034C-B",3,6,2,2,3,5
"YAL034W-A",12,15,5,6,6,18
"YAL035W",246,484,113,156,185,171
"YAL036C",30,40,32,20,23,21
"YAL037C-A",7,14,1,8,17,15
"YAL037C-B",856,964,427,1707,1714,1483
"YAL037W",4,3,4,13,20,18
"YAL038W",1228,1391,696,2696,2795,2371
"YAL039C",58,76,42,47,62,48
"YAL040C",41,43,25,51,57,43
"YAL041W",57,43,22,54,45,59
"YAL042C-A",10,5,1,15,6,5
"YAL042W",51,55,36,56,70,55
"YAL043C",32,24,27,29,27,21
"YAL044C",95,119,55,58,80,59
"YAL044W-A",46,39,18,23,47,35
"YAL045C",34,32,12,7,36,21
"YAL046C",41,23,26,13,14,9
"YAL047C",25,27,1,10,11,18
"YAL047W-A",1,2,0,3,0,5
"YAL048C",33,19,18,29,35,26
"YAL049C",242,193,130,122,174,166
"YAL051W",70,62,40,96,100,83
"YAL053W",157,102,106,146,151,146
"YAL054C",85,81,80,83,74,78
"YAL055W",29,72,12,22,25,34
"YAL056C-A",2,7,5,7,7,5
"YAL056W",182,106,104,191,242,264
"YAL058W",14,14,16,24,17,19
"YAL059C-A",13,6,8,8,8,12
"YAL059W",33,24,21,23,26,23
"YAL060W",56,86,33,314,374,338
"YAL061W",77,86,47,169,229,196
"YAL062W",60,104,46,30,43,32
"YAL063C",6,3,3,8,8,10
"YAL063C-A",0,0,0,0,0,0
"YAL064C-A",0,0,0,0,0,0
"YAL064W",0,0,0,0,0,0
"YAL064W-B",0,0,0,0,0,0
"YAL065C",9,5,5,2,2,2
"YAL066W",5,7,0,2,0,1
"YAL067C",90,87,47,27,27,20
"YAL067W-A",0,0,0,0,0,0
"YAL068C",0,0,0,0,0,0
"YAL068W-A",0,0,0,0,0,0
"YAL069W",0,0,0,0,0,0
"YAR002C-A",122,131,95,42,38,49
"YAR002W",63,44,23,50,40,39
"YAR003W",57,42,23,36,43,39
"YAR007C",114,74,68,49,59,81
"YAR008W",42,28,15,18,32,15
"YAR009C",0,0,0,0,0,0
"YAR010C",0,0,0,0,0,0
"YAR014C",88,69,36,52,64,59
"YAR015W",194,154,104,75,80,79
"YAR018C",26,26,12,10,7,4
"YAR019C",26,27,9,29,42,34
"YAR019W-A",0,3,1,3,0,2
"YAR020C",0,1,0,0,0,0
"YAR023C",6,6,6,7,12,9
"YAR027W",42,30,26,2,0,0
"YAR028W",7,3,1,0,0,0
"YAR029W",6,5,0,0,0,0
"YAR030C",4,6,0,0,0,0
"YAR031W",1,0,0,0,0,0
"YAR033W",0,0,0,0,0,0
"YAR035C-A",0,2,0,0,0,0
"YAR035W",12,14,15,1,0,2
"YAR042W",73,83,33,98,116,109
"YAR047C",0,0,0,0,0,0
"YAR050W",6,4,4,10,5,2
"YAR053W",0,0,0,0,0,0
"YAR060C",0,0,0,0,0,0
"YAR061W",0,0,0,0,0,0
"YAR064W",0,0,0,0,0,0
"YAR066W",0,0,0,0,0,0
"YAR068W",0,0,0,0,0,0
"YAR069C",0,0,0,0,0,0
"YAR070C",0,0,0,0,0,0
"YAR071W",0,0,0,0,0,0
"YAR073W",0,0,0,0,0,0
"YAR075W",0,0,0,0,0,0
"YBL001C",161,152,57,77,80,101
"YBL002W",439,303,272,204,217,224
"YBL003C",254,195,97,96,151,143
"YBL004W",248,163,134,179,225,245
"YBL005W",55,34,31,32,45,45
"YBL005W-A",0,0,0,0,0,0
"YBL005W-B",0,0,0,0,0,0
"YBL006C",102,84,40,41,65,62
"YBL006W-A",31,23,23,15,13,13
"YBL007C",120,155,78,191,211,220
"YBL008W",45,39,33,41,44,35
